cohort_month,months_since_signup,retained_customers,cohort_size_at_month,retention_pct
2020-01,0,362,362,100.0
2020-01,1,362,362,100.0
2020-01,2,362,362,100.0
2020-01,3,362,362,100.0
2020-01,4,362,362,100.0
2020-01,5,362,362,100.0
2020-01,6,362,362,100.0
2020-01,7,362,362,100.0
2020-01,8,362,362,100.0
2020-01,9,362,362,100.0
2020-01,10,362,362,100.0
2020-01,11,362,362,100.0
2020-01,12,362,362,100.0
2020-01,13,362,362,100.0
2020-01,14,362,362,100.0
2020-01,15,362,362,100.0
2020-01,16,362,362,100.0
2020-01,17,362,362,100.0
2020-01,18,362,362,100.0
2020-01,19,362,362,100.0
2020-01,20,362,362,100.0
2020-01,21,362,362,100.0
2020-01,22,362,362,100.0
2020-01,23,362,362,100.0
2020-01,24,362,362,100.0
2020-02,0,170,170,100.0
2020-02,1,170,170,100.0
2020-02,2,170,170,100.0
2020-02,3,170,170,100.0
2020-02,4,170,170,100.0
2020-02,5,170,170,100.0
2020-02,6,170,170,100.0
2020-02,7,170,170,100.0
2020-02,8,170,170,100.0
2020-02,9,170,170,100.0
2020-02,10,170,170,100.0
2020-02,11,170,170,100.0
2020-02,12,170,170,100.0
2020-02,13,170,170,100.0
2020-02,14,170,170,100.0
2020-02,15,170,170,100.0
2020-02,16,170,170,100.0
2020-02,17,170,170,100.0
2020-02,18,170,170,100.0
2020-02,19,170,170,100.0
2020-02,20,170,170,100.0
2020-02,21,170,170,100.0
2020-02,22,170,170,100.0
2020-02,23,170,170,100.0
2020-02,24,170,170,100.0
2020-03,0,119,119,100.0
2020-03,1,119,119,100.0
2020-03,2,119,119,100.0
2020-03,3,119,119,100.0
2020-03,4,119,119,100.0
2020-03,5,119,119,100.0
2020-03,6,119,119,100.0
2020-03,7,119,119,100.0
2020-03,8,119,119,100.0
2020-03,9,119,119,100.0
2020-03,10,119,119,100.0
2020-03,11,119,119,100.0
2020-03,12,119,119,100.0
2020-03,13,119,119,100.0
2020-03,14,119,119,100.0
2020-03,15,119,119,100.0
2020-03,16,119,119,100.0
2020-03,17,119,119,100.0
2020-03,18,119,119,100.0
2020-03,19,119,119,100.0
2020-03,20,119,119,100.0
2020-03,21,119,119,100.0
2020-03,22,119,119,100.0
2020-03,23,119,119,100.0
2020-03,24,119,119,100.0
2020-04,0,95,95,100.0
2020-04,1,95,95,100.0
